Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
879,12,7316,609.7
880,11,7248,658.9
881,14,7355,525.4
882,14,7300,521.4
883,14,7307,521.9
884,14,7281,520.1
885,10,7278,727.8
886,13,7244,557.2
887,15,7291,486.1
888,14,7290,520.7
889,12,7274,606.2
890,13,7323,563.3
891,12,7273,606.1
892,12,7307,608.9
893,12,7306,608.8
894,13,7285,560.4
895,14,7296,521.1
896,11,7309,664.4
897,11,7326,666.0
898,12,7351,612.6
899,11,7330,666.4
900,12,7329,610.8
901,10,7340,734.0
902,12,7224,602.0
903,11,7338,667.1
904,10,7219,721.9
905,11,7229,657.2
906,11,7302,663.8
907,11,7249,659.0
908,11,7320,665.4
909,11,7284,662.2
910,11,7299,663.6
911,11,7293,663.0
912,11,7260,660.0
913,11,7353,668.4
914,10,7359,735.9
915,11,7388,671.6
916,11,7352,668.4
917,11,7370,670.0
918,11,7319,665.4
919,10,7348,734.8
920,10,7303,730.3
921,10,7314,731.4
922,10,7325,732.5
923,10,7295,729.5
924,10,7318,731.8
925,10,7322,732.2
926,10,7352,735.2
927,10,7347,734.7
928,10,7336,733.6
929,10,7285,728.5
930,10,7303,730.3
931,10,7319,731.9
932,9,7349,816.6
933,10,7362,736.2
934,10,7341,734.1
935,10,7366,736.6
936,10,7318,731.8
937,9,7261,806.8
938,9,7298,810.9
939,10,7319,731.9
940,10,7327,732.7
941,10,7333,733.3
942,9,7272,808.0
943,9,7262,806.9
944,10,7288,728.8
945,9,7273,808.1
946,10,7344,734.4
947,10,7317,731.7
948,9,7267,807.4
949,10,7303,730.3
950,9,7252,805.8
951,9,7292,810.2
952,9,7283,809.2
953,10,7333,733.3
954,10,7320,732.0
955,9,7297,810.8
956,8,7271,908.9
957,10,7351,735.1
958,10,7366,736.6
959,9,7263,807.0
960,10,7349,734.9
961,8,7257,907.1
962,8,7252,906.5
963,8,7268,908.5
964,8,7289,911.1
965,8,7244,905.5
966,9,7267,807.4
967,8,7242,905.2
968,8,7284,910.5
969,8,7257,907.1
970,9,7320,813.3
971,9,7316,812.9
972,8,7288,911.0
973,9,7321,813.4
974,8,7280,910.0
975,8,7331,916.4
976,8,7335,916.9
977,8,7320,915.0
978,8,7325,915.6
979,8,7331,916.4
980,8,7343,917.9
981,8,7383,922.9
982,8,7365,920.6
983,8,7355,919.4
984,8,7328,916.0
985,8,7363,920.4
986,8,7357,919.6
987,8,7362,920.2
988,8,7334,916.8
989,8,7353,919.1
990,8,7368,921.0
991,7,7281,1040.1
992,8,7348,918.5
993,8,7376,922.0
994,8,7353,919.1
995,8,7354,919.2
996,7,7334,1047.7
997,7,7269,1038.4
998,7,7255,1036.4
999,7,7269,1038.4
1000,6,7236,1206.0
1001,6,7247,1207.8
1002,6,7280,1213.3
1003,6,7267,1211.2
1004,6,7201,1200.2
1005,7,7329,1047.0
1006,6,7285,1214.2
1007,7,7245,1035.0
1008,7,7216,1030.9
1009,8,7318,914.8
1010,8,7308,913.5
1011,8,7314,914.2
1012,7,7266,1038.0
1013,7,7258,1036.9
1014,7,7256,1036.6
1015,8,7305,913.1
1016,8,7288,911.0
1017,8,7275,909.4
1018,7,7206,1029.4
1019,8,7310,913.8
1020,8,7311,913.9
1021,8,7302,912.8
1022,8,7309,913.6
1023,8,7259,907.4
1024,8,7298,912.2
1025,7,7273,1039.0
1026,8,7344,918.0
1027,7,7287,1041.0
1028,7,7305,1043.6
1029,7,7322,1046.0
1030,7,7294,1042.0
1031,8,7355,919.4
1032,8,7344,918.0
1033,8,7342,917.8
1034,8,7300,912.5
1035,8,7271,908.9
1036,8,7311,913.9
1037,8,7321,915.1
1038,8,7314,914.2
1039,8,7320,915.0
1040,8,7307,913.4
1041,8,7315,914.4
1042,8,7277,909.6
1043,8,7287,910.9
1044,8,7286,910.8
1045,8,7276,909.5
1046,8,7284,910.5
1047,8,7264,908.0
1048,8,7275,909.4
1049,8,7258,907.2
1050,8,7284,910.5
1051,8,7266,908.2
1052,8,7333,916.6
1053,8,7325,915.6
1054,8,7313,914.1
1055,8,7310,913.8
1056,8,7318,914.8
1057,8,7302,912.8
1058,8,7336,917.0
1059,8,7340,917.5
1060,8,7308,913.5
1061,8,7289,911.1
1062,8,7320,915.0
1063,8,7308,913.5
1064,9,7344,816.0
1065,9,7328,814.2
1066,8,7269,908.6
1067,9,7334,814.9
1068,9,7354,817.1
1069,9,7338,815.3
1070,9,7349,816.6
1071,8,7311,913.9
1072,8,7337,917.1
1073,8,7295,911.9
1074,8,7297,912.1
1075,8,7276,909.5
1076,8,7290,911.2
1077,8,7300,912.5
1078,8,7310,913.8
1079,8,7268,908.5
1080,8,7289,911.1
1081,8,7284,910.5
1082,9,7303,811.4
1083,8,7248,906.0
1084,8,7277,909.6
1085,9,7325,813.9
1086,9,7310,812.2
1087,9,7331,814.6
1088,9,7298,810.9
1089,9,7314,812.7
1090,9,7280,808.9
1091,9,7263,807.0
1092,9,7251,805.7
1093,9,7232,803.6
1094,9,7261,806.8
1095,9,7287,809.7
1096,9,7299,811.0
1097,9,7297,810.8
1098,9,7298,810.9
1099,9,7277,808.6
1100,8,7228,903.5
1101,9,7277,808.6
1102,8,7217,902.1
1103,9,7283,809.2
1104,9,7306,811.8
1105,9,7311,812.3
1106,9,7302,811.3
1107,9,7315,812.8
1108,9,7327,814.1
1109,9,7346,816.2
1110,9,7315,812.8
1111,9,7304,811.6
1112,9,7314,812.7
1113,9,7296,810.7
1114,9,7337,815.2
1115,9,7272,808.0
1116,9,7249,805.4
1117,8,7227,903.4
1118,9,7241,804.6
1119,9,7245,805.0
1120,9,7216,801.8
1121,9,7194,799.3
1122,10,7214,721.4
1123,9,7198,799.8
1124,10,7250,725.0
1125,10,7252,725.2
1126,10,7285,728.5
1127,10,7261,726.1
1128,10,7280,728.0
1129,10,7238,723.8
1130,10,7271,727.1
1131,10,7317,731.7
1132,10,7284,728.4
1133,10,7312,731.2
1134,10,7298,729.8
1135,10,7335,733.5
1136,10,7322,732.2
1137,10,7313,731.3
1138,10,7320,732.0
1139,10,7258,725.8
1140,10,7274,727.4
1141,10,7291,729.1
1142,10,7261,726.1
1143,10,7274,727.4
1144,10,7267,726.7
1145,10,7270,727.0
1146,10,7268,726.8
1147,9,7231,803.4
1148,9,7293,810.3
1149,9,7266,807.3
1150,9,7280,808.9
1151,9,7288,809.8
1152,9,7303,811.4
1153,10,7336,733.6
1154,10,7324,732.4
1155,10,7311,731.1
1156,10,7337,733.7
1157,10,7294,729.4
1158,10,7273,727.3
1159,10,7269,726.9
1160,10,7297,729.7
1161,10,7313,731.3
1162,10,7310,731.0
1163,10,7351,735.1
1164,10,7323,732.3
1165,10,7346,734.6
1166,10,7330,733.0
1167,10,7293,729.3
1168,10,7230,723.0
1169,10,7242,724.2
1170,10,7334,733.4
1171,9,7268,807.6
1172,9,7314,812.7
1173,9,7226,802.9
1174,9,7261,806.8
1175,9,7266,807.3
1176,9,7263,807.0
1177,9,7187,798.6
1178,8,7203,900.4
1179,8,7210,901.2
1180,8,7182,897.8
1181,8,7185,898.1
1182,8,7215,901.9
1183,8,7191,898.9
1184,8,7192,899.0
1185,9,7225,802.8
1186,10,7298,729.8
1187,9,7282,809.1
1188,9,7323,813.7
