Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
394,21,6901,328.6
395,19,6785,357.1
396,20,5118,255.9
397,20,4920,246.0
398,20,6577,328.8
399,21,5074,241.6
400,19,6635,349.2
401,21,6759,321.9
402,18,5976,332.0
403,17,6517,383.4
404,18,4864,270.2
405,20,6765,338.2
406,19,4959,261.0
407,20,5944,297.2
408,20,5143,257.2
409,21,5770,274.8
410,21,4536,216.0
411,20,5178,258.9
412,22,5280,240.0
413,23,4551,197.9
414,23,5988,260.3
415,17,6481,381.2
416,17,6596,388.0
417,18,6813,378.5
418,19,6777,356.7
419,18,6626,368.1
420,16,6554,409.6
421,20,6861,343.0
422,18,5045,280.3
423,17,6509,382.9
424,15,6393,426.2
425,14,5982,427.3
426,15,6094,406.3
427,18,6539,363.3
428,18,6665,370.3
429,20,6823,341.2
430,20,6836,341.8
431,19,6483,341.2
432,21,6997,333.2
433,19,6849,360.5
434,20,6799,340.0
435,19,6900,363.2
436,20,6828,341.4
437,15,4198,279.9
438,18,4327,240.4
439,15,4164,277.6
440,18,5580,310.0
441,17,5362,315.4
442,16,5282,330.1
443,15,5151,343.4
444,12,3598,299.8
445,16,6185,386.6
446,13,4897,376.7
447,17,6039,355.2
448,14,6010,429.3
449,16,5432,339.5
450,15,5076,338.4
451,19,6743,354.9
452,16,4530,283.1
453,18,5914,328.6
454,18,4509,250.5
455,20,6749,337.4
456,20,6760,338.0
457,16,5209,325.6
458,17,5366,315.6
459,15,6124,408.3
460,18,5309,294.9
461,18,5557,308.7
462,18,6486,360.3
463,19,6905,363.4
464,18,6447,358.2
465,17,6330,372.4
466,19,6452,339.6
467,17,6505,382.6
468,15,6351,423.4
469,15,6406,427.1
470,13,5675,436.5
471,14,5945,424.6
472,16,6203,387.7
473,16,6190,386.9
474,15,6082,405.5
475,16,6304,394.0
476,16,6087,380.4
477,14,6163,440.2
478,15,6099,406.6
479,16,5978,373.6
480,16,6042,377.6
481,16,5520,345.0
482,14,5559,397.1
483,16,5685,355.3
484,14,5572,398.0
485,13,5545,426.5
486,14,5560,397.1
487,15,5965,397.7
488,17,6101,358.9
489,16,6251,390.7
490,15,5820,388.0
491,13,5447,419.0
492,14,5667,404.8
493,17,5868,345.2
494,17,6008,353.4
495,17,6040,355.3
496,16,5912,369.5
497,14,5852,418.0
498,13,5679,436.8
499,15,6225,415.0
500,13,5703,438.7
501,16,5962,372.6
502,13,5665,435.8
503,15,5742,382.8
504,16,5862,366.4
505,15,5867,391.1
506,15,5717,381.1
507,21,6337,301.8
508,16,4735,295.9
509,18,6093,338.5
510,15,5946,396.4
511,15,6066,404.4
512,15,4460,297.3
513,15,4567,304.5
514,18,4746,263.7
515,19,5070,266.8
516,18,5447,302.6
517,15,5872,391.5
518,15,4636,309.1
519,17,5500,323.5
520,14,4814,343.9
521,14,4786,341.9
522,16,4873,304.6
523,15,4916,327.7
524,15,5009,333.9
525,16,5549,346.8
526,15,6085,405.7
527,15,6027,401.8
528,15,5960,397.3
529,14,5861,418.6
530,13,5580,429.2
531,15,4667,311.1
532,17,5531,325.4
533,17,5436,319.8
534,17,4919,289.4
535,16,4772,298.2
536,16,5070,316.9
537,14,4862,347.3
538,15,4793,319.5
539,17,6302,370.7
540,16,5084,317.8
541,18,6433,357.4
542,19,6592,346.9
543,18,6498,361.0
544,18,6618,367.7
545,16,6382,398.9
546,16,6560,410.0
547,15,6086,405.7
548,16,6117,382.3
549,18,6356,353.1
550,16,5874,367.1
551,15,5649,376.6
552,15,5811,387.4
553,13,5679,436.8
554,14,5806,414.7
555,16,5804,362.8
556,16,5784,361.5
557,13,5542,426.3
558,13,5218,401.4
559,10,4521,452.1
560,13,5259,404.5
561,14,5300,378.6
562,14,5357,382.6
563,15,5346,356.4
564,15,5512,367.5
565,14,5242,374.4
566,16,5552,347.0
567,15,5335,355.7
568,19,5862,308.5
569,17,5752,338.4
570,16,5390,336.9
571,16,5427,339.2
572,18,6362,353.4
573,15,4071,271.4
574,15,6250,416.7
575,17,6653,391.4
576,15,6586,439.1
577,17,6228,366.4
578,13,4094,314.9
579,13,4156,319.7
580,13,4163,320.2
581,12,4237,353.1
582,12,4222,351.8
583,13,4257,327.5
584,15,4458,297.2
585,14,4276,305.4
586,15,4360,290.7
587,12,4276,356.3
588,13,4269,328.4
589,10,4078,407.8
590,12,4186,348.8
591,12,4148,345.7
592,11,4008,364.4
593,13,4557,350.5
594,12,4013,334.4
595,13,4514,347.2
596,15,4680,312.0
597,13,4489,345.3
598,13,4526,348.2
599,16,4621,288.8
600,16,4647,290.4
601,14,4631,330.8
602,14,4589,327.8
603,13,4555,350.4
604,13,4549,349.9
605,15,4649,309.9
606,12,4570,380.8
607,11,4291,390.1
608,12,4477,373.1
609,13,4535,348.8
610,17,5089,299.4
611,11,4250,386.4
612,13,4525,348.1
613,14,4664,333.1
614,11,4049,368.1
615,13,4521,347.8
616,12,4506,375.5
617,14,4513,322.4
618,12,4472,372.7
619,11,4508,409.8
620,11,4480,407.3
621,14,4709,336.4
622,12,4499,374.9
623,10,4188,418.8
624,11,4199,381.7
625,10,4184,418.4
626,11,4193,381.2
627,10,4186,418.6
628,10,4382,438.2
629,10,4410,441.0
630,11,4408,400.7
631,11,4315,392.3
632,12,4493,374.4
633,13,4506,346.6
634,11,4426,402.4
635,12,4489,374.1
636,10,4136,413.6
637,12,4390,365.8
638,10,4164,416.4
639,11,4312,392.0
640,13,4392,337.8
641,14,5177,369.8
642,13,5068,389.8
643,13,5049,388.4
644,11,4895,445.0
645,12,5020,418.3
646,11,4819,438.1
647,11,4808,437.1
648,10,4746,474.6
649,10,4600,460.0
650,9,4619,513.2
651,10,4595,459.5
652,9,4016,446.2
653,8,3881,485.1
654,10,4017,401.7
655,9,3957,439.7
656,9,3923,435.9
657,9,3916,435.1
658,9,3905,433.9
659,10,5899,589.9
660,9,5855,650.6
661,10,5968,596.8
662,10,5951,595.1
663,9,5926,658.4
664,10,6321,632.1
665,10,6341,634.1
666,10,6412,641.2
667,10,6421,642.1
668,10,6220,622.0
669,9,5976,664.0
670,9,6006,667.3
671,10,6428,642.8
672,9,6038,670.9
673,9,5990,665.6
674,11,6450,586.4
675,12,6214,517.8
676,10,3784,378.4
677,12,4373,364.4
678,12,3276,273.0
679,14,6215,443.9
680,11,6590,599.1
681,15,6249,416.6
682,11,6440,585.5
683,16,7120,445.0
684,12,6511,542.6
685,11,5990,544.5
686,12,6633,552.8
687,11,6033,548.5
688,9,5888,654.2
689,11,6641,603.7
690,11,6601,600.1
691,10,6002,600.2
692,11,6519,592.6
693,12,6520,543.3
694,12,6513,542.8
695,11,6496,590.5
696,10,5941,594.1
697,11,5977,543.4
698,10,5969,596.9
699,11,6033,548.5
700,10,6012,601.2
701,9,5991,665.7
702,11,6089,553.5
703,12,6029,502.4
704,11,5953,541.2
705,13,6094,468.8
706,13,5976,459.7
707,14,6003,428.8
708,12,5925,493.8
709,13,5993,461.0
710,16,6958,434.9
711,12,5810,484.2
712,11,3719,338.1
713,12,6074,506.2
714,11,6001,545.5
715,11,6039,549.0
716,12,6051,504.2
717,11,6014,546.7
718,11,5929,539.0
719,11,6035,548.6
720,10,5989,598.9
721,10,5985,598.5
722,12,6129,510.8
723,11,6741,612.8
724,9,6638,737.6
725,11,6753,613.9
726,10,6550,655.0
727,12,6731,560.9
728,11,6633,603.0
729,11,6563,596.6
730,12,6781,565.1
731,12,6754,562.8
732,11,6727,611.5
733,11,6566,596.9
734,11,6620,601.8
735,11,6791,617.4
736,11,6870,624.5
737,12,6988,582.3
738,11,6909,628.1
739,12,6956,579.7
740,10,6922,692.2
741,9,6963,773.7
742,10,6987,698.7
743,10,7009,700.9
744,9,6961,773.4
745,8,6782,847.8
746,8,6636,829.5
747,9,6570,730.0
748,11,6893,626.6
749,10,6575,657.5
750,11,6835,621.4
751,12,6964,580.3
752,12,6740,561.7
753,11,6619,601.7
754,12,6811,567.6
755,12,6629,552.4
756,13,6774,521.1
757,13,6571,505.5
758,14,6723,480.2
759,12,6716,559.7
760,13,6258,481.4
761,12,6443,536.9
762,11,6526,593.3
763,12,6115,509.6
764,11,6146,558.7
765,10,6229,622.9
766,11,6279,570.8
767,11,6300,572.7
768,10,6472,647.2
769,9,5751,639.0
770,11,6280,570.9
771,9,6074,674.9
772,8,3827,478.4
773,9,6056,672.9
774,12,6452,537.7
775,13,6820,524.6
776,12,6731,560.9
777,12,6759,563.2
778,12,6755,562.9
779,12,6770,564.2
780,11,6741,612.8
781,11,5937,539.7
782,13,6435,495.0
783,10,6933,693.3
784,14,7128,509.1
785,10,6875,687.5
786,12,7065,588.8
787,13,7196,553.5
788,14,7240,517.1
789,12,6424,535.3
790,12,6420,535.0
791,13,7185,552.7
792,10,5920,592.0
793,15,7295,486.3
794,14,7164,511.7
795,15,7133,475.5
796,12,7047,587.2
797,13,7076,544.3
798,13,7018,539.8
799,13,6926,532.8
800,14,7211,515.1
801,14,7182,513.0
802,13,7037,541.3
803,12,6716,559.7
804,13,6952,534.8
805,12,6778,564.8
806,12,6758,563.2
807,13,6662,512.5
808,13,6427,494.4
809,11,6085,553.2
810,11,6150,559.1
811,10,6087,608.7
812,11,6087,553.4
813,11,6209,564.5
814,11,6134,557.6
815,12,6286,523.8
816,13,6411,493.2
817,11,6142,558.4
818,10,5988,598.8
819,13,6301,484.7
820,12,6034,502.8
821,13,6116,470.5
822,14,6275,448.2
823,13,6232,479.4
824,13,6257,481.3
825,13,6364,489.5
826,11,5977,543.4
827,11,5867,533.4
828,11,5801,527.4
829,10,5556,555.6
830,11,5935,539.5
831,11,6310,573.6
832,14,6774,483.9
833,11,6380,580.0
834,10,6384,638.4
835,9,5839,648.8
836,10,6902,690.2
837,10,6941,694.1
838,10,6834,683.4
839,10,6700,670.0
840,12,6936,578.0
841,11,6760,614.5
842,10,6809,680.9
843,10,6666,666.6
844,11,6570,597.3
845,8,5583,697.9
846,11,6862,623.8
847,11,6667,606.1
848,12,6996,583.0
849,11,6977,634.3
850,11,6986,635.1
851,10,6456,645.6
852,9,5966,662.9
853,10,6437,643.7
854,10,6444,644.4
855,11,6851,622.8
