Frame,shapes
663,vesicle
664,vesicle
665,vesicle
666,vesicle
667,vesicle
668,vesicle
669,vesicle
670,vesicle
671,vesicle
672,vesicle
673,vesicle
674,vesicle
675,vesicle
676,vesicle
677,vesicle
678,undetermined
679,vesicle
680,vesicle
681,vesicle
682,vesicle
683,vesicle
684,vesicle
685,vesicle
686,vesicle
687,vesicle
688,vesicle
689,vesicle
690,vesicle
691,vesicle
692,vesicle
693,vesicle
694,vesicle
695,vesicle
696,vesicle
697,vesicle
698,vesicle
699,vesicle
700,vesicle
701,vesicle
702,vesicle
703,vesicle
704,vesicle
705,vesicle
706,vesicle
707,vesicle
708,vesicle
709,vesicle
710,vesicle
711,vesicle
712,vesicle
713,vesicle
714,vesicle
715,vesicle
716,vesicle
717,vesicle
718,vesicle
719,vesicle
720,vesicle
721,vesicle
722,vesicle
723,vesicle
724,vesicle
725,vesicle
726,vesicle
727,vesicle
728,vesicle
729,vesicle
730,vesicle
731,vesicle
732,vesicle
733,vesicle
734,vesicle
735,vesicle
736,vesicle
737,vesicle
738,vesicle
739,vesicle
740,vesicle
741,vesicle
742,vesicle
743,vesicle
744,vesicle
745,vesicle
746,vesicle
747,vesicle
748,vesicle
749,vesicle
750,vesicle
751,vesicle
752,vesicle
753,vesicle
754,vesicle
755,vesicle
756,vesicle
757,vesicle
758,vesicle
759,vesicle
760,vesicle
761,vesicle
762,vesicle
763,vesicle
764,vesicle
765,vesicle
766,vesicle
767,vesicle
768,vesicle
769,vesicle
770,vesicle
771,vesicle
772,vesicle
773,vesicle
774,vesicle
775,vesicle
776,vesicle
777,vesicle
778,vesicle
779,vesicle
780,vesicle
781,vesicle
782,vesicle
783,vesicle
784,vesicle
785,vesicle
786,vesicle
787,vesicle
788,vesicle
789,vesicle
790,vesicle
791,vesicle
792,vesicle
793,vesicle
794,vesicle
795,vesicle
796,vesicle
797,vesicle
798,vesicle
799,vesicle
800,vesicle
801,vesicle
802,vesicle
803,vesicle
804,vesicle
805,vesicle
806,vesicle
807,vesicle
808,vesicle
809,vesicle
810,vesicle
811,vesicle
812,vesicle
813,vesicle
814,vesicle
815,vesicle
816,vesicle
817,vesicle
818,vesicle
819,vesicle
820,vesicle
821,vesicle
822,vesicle
823,vesicle
824,vesicle
825,vesicle
826,vesicle
827,vesicle
828,vesicle
829,vesicle
830,vesicle
831,vesicle
832,vesicle
833,vesicle
834,vesicle
835,vesicle
836,vesicle
837,vesicle
838,vesicle
839,vesicle
840,vesicle
841,vesicle
842,vesicle
843,vesicle
844,vesicle
845,vesicle
846,vesicle
847,vesicle
848,vesicle
849,vesicle
850,vesicle
851,vesicle
852,vesicle
853,vesicle
854,vesicle
855,vesicle
856,vesicle
857,vesicle
858,vesicle
859,vesicle
860,vesicle
861,vesicle
862,vesicle
863,vesicle
864,vesicle
865,vesicle
866,vesicle
867,vesicle
868,vesicle
869,vesicle
870,vesicle
871,vesicle
872,vesicle
873,vesicle
874,vesicle
875,vesicle
876,vesicle
877,vesicle
878,vesicle
879,vesicle
880,vesicle
881,vesicle
882,vesicle
883,vesicle
884,vesicle
885,vesicle
886,vesicle
887,vesicle
888,vesicle
889,vesicle
890,vesicle
891,vesicle
892,vesicle
893,vesicle
894,vesicle
895,vesicle
896,vesicle
897,vesicle
898,vesicle
899,vesicle
900,vesicle
901,vesicle
902,vesicle
