Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
523,23,5599,243.4
524,19,5553,292.3
525,23,5600,243.5
526,20,5680,284.0
527,18,5454,303.0
528,23,5569,242.1
529,23,5555,241.5
530,21,5666,269.8
531,21,5474,260.7
532,19,5430,285.8
533,19,5386,283.5
534,20,5351,267.6
535,22,5713,259.7
536,22,5687,258.5
537,20,5650,282.5
538,21,5587,266.0
539,19,5597,294.6
540,19,5555,292.4
541,19,5480,288.4
542,21,5563,264.9
543,18,5517,306.5
544,20,5566,278.3
545,20,5571,278.6
546,19,5515,290.3
547,17,5498,323.4
548,17,5570,327.6
549,19,5609,295.2
550,19,5634,296.5
551,20,5704,285.2
552,19,5652,297.5
553,19,5665,298.2
554,21,5706,271.7
555,18,5629,312.7
556,18,5615,311.9
557,17,5630,331.2
558,19,5723,301.2
559,23,5726,249.0
560,18,5666,314.8
561,19,5703,300.2
562,19,5664,298.1
563,18,5657,314.3
564,18,5708,317.1
565,18,5646,313.7
566,17,5592,328.9
567,20,5647,282.4
568,19,5640,296.8
569,19,5645,297.1
570,19,5689,299.4
571,18,5679,315.5
572,18,5702,316.8
573,18,5718,317.7
574,18,5697,316.5
575,18,5677,315.4
576,18,5671,315.1
577,18,5682,315.7
578,18,5677,315.4
579,18,5696,316.4
580,18,5681,315.6
581,19,5715,300.8
582,16,5575,348.4
583,19,5672,298.5
584,18,5674,315.2
585,18,5615,311.9
586,18,5609,311.6
587,20,5658,282.9
588,17,5570,327.6
589,20,5684,284.2
590,19,5678,298.8
591,19,5659,297.8
592,18,5662,314.6
593,20,5699,285.0
594,21,5763,274.4
595,21,5818,277.0
596,19,5682,299.0
597,19,5700,300.0
598,18,5673,315.2
599,17,5632,331.3
600,17,5608,329.9
601,19,5729,301.5
602,18,5701,316.7
603,19,5692,299.6
604,18,5661,314.5
605,18,5586,310.3
606,17,5632,331.3
607,17,5612,330.1
608,17,5559,327.0
609,18,5635,313.1
610,18,5685,315.8
611,17,5694,334.9
612,18,5635,313.1
613,18,5628,312.7
614,18,5591,310.6
615,17,5541,325.9
616,17,5573,327.8
617,16,5557,347.3
618,18,5639,313.3
619,18,5583,310.2
620,17,5596,329.2
621,17,5540,325.9
622,18,5594,310.8
623,18,5557,308.7
624,19,5636,296.6
625,18,5573,309.6
626,19,5659,297.8
627,19,5730,301.6
628,20,5667,283.4
629,19,5601,294.8
630,20,5680,284.0
631,20,5679,284.0
632,19,5638,296.7
633,17,5640,331.8
634,18,5663,314.6
635,19,5673,298.6
636,17,5545,326.2
637,17,5604,329.6
638,16,5543,346.4
639,16,5609,350.6
640,12,5562,463.5
641,17,5587,328.6
642,16,5575,348.4
643,17,5629,331.1
644,18,5687,315.9
645,17,5561,327.1
646,19,5696,299.8
647,15,5475,365.0
648,15,5466,364.4
649,14,5464,390.3
650,13,5606,431.2
651,13,5648,434.5
652,13,5605,431.2
653,13,5598,430.6
654,13,5625,432.7
655,13,5590,430.0
656,13,5614,431.8
657,13,5566,428.2
658,15,5567,371.1
659,14,5562,397.3
660,13,5609,431.5
661,13,5521,424.7
662,13,5521,424.7
