Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
439,14,6416,458.3
440,14,6574,469.6
441,15,6651,443.4
442,16,6685,417.8
443,19,8834,464.9
444,18,8815,489.7
445,19,8858,466.2
446,20,8848,442.4
447,17,8301,488.3
448,16,8007,500.4
449,17,6400,376.5
450,15,6424,428.3
451,14,6440,460.0
452,12,5684,473.7
453,18,6934,385.2
454,16,6276,392.2
455,15,5370,358.0
456,13,5244,403.4
457,14,5301,378.6
458,14,5228,373.4
459,14,5801,414.4
460,15,5618,374.5
461,15,6062,404.1
462,14,6020,430.0
463,14,6125,437.5
464,14,6089,434.9
465,12,5596,466.3
466,13,7355,565.8
467,15,8572,571.5
468,11,5493,499.4
469,14,6926,494.7
470,16,7180,448.8
471,17,9099,535.2
472,15,8685,579.0
473,14,5379,384.2
474,14,6616,472.6
475,11,4778,434.4
476,11,4799,436.3
477,11,4611,419.2
478,11,4614,419.5
479,9,4040,448.9
480,13,4874,374.9
481,12,5544,462.0
482,10,4572,457.2
483,11,4580,416.4
484,10,4204,420.4
485,13,6653,511.8
486,13,6918,532.2
487,12,6569,547.4
488,14,7197,514.1
489,12,6527,543.9
490,12,6745,562.1
491,11,6405,582.3
492,13,7396,568.9
493,15,7841,522.7
494,15,7799,519.9
495,13,6822,524.8
496,12,6267,522.2
497,11,4601,418.3
498,11,4417,401.5
499,13,4867,374.4
500,14,5093,363.8
501,12,4887,407.2
502,14,5128,366.3
503,13,4984,383.4
504,13,3270,251.5
505,13,3250,250.0
506,11,4626,420.5
507,11,3052,277.5
508,12,3196,266.3
509,10,2952,295.2
510,11,3007,273.4
511,14,5094,363.9
512,14,3646,260.4
513,13,5008,385.2
514,14,5117,365.5
515,14,5183,370.2
516,14,5140,367.1
517,12,4389,365.8
518,14,5783,413.1
519,17,6454,379.6
520,16,6454,403.4
521,16,6127,382.9
522,16,6493,405.8
523,17,6783,399.0
524,18,6105,339.2
525,16,6105,381.6
526,15,5559,370.6
527,15,5538,369.2
528,15,5553,370.2
529,15,4843,322.9
530,13,4818,370.6
531,13,4815,370.4
532,12,6243,520.2
533,13,6526,502.0
534,16,7059,441.2
535,17,7165,421.5
536,17,7131,419.5
537,17,7533,443.1
