Frame,tube_count,total_peptides_in_tubes,avg_tube_size
540,2,129,64.5
541,3,186,62.0
542,3,181,60.3
543,2,135,67.5
544,2,134,67.0
545,2,119,59.5
546,1,56,56.0
547,2,106,53.0
548,1,126,126.0
549,0,0,0.0
550,1,77,77.0
551,1,77,77.0
552,1,84,84.0
553,0,0,0.0
554,5,405,81.0
555,4,347,86.8
556,3,207,69.0
557,0,0,0.0
558,1,55,55.0
559,1,56,56.0
560,1,126,126.0
561,3,217,72.3
562,2,125,62.5
563,0,0,0.0
564,1,63,63.0
565,1,70,70.0
566,0,0,0.0
567,0,0,0.0
568,0,0,0.0
569,2,254,127.0
570,3,223,74.3
571,2,133,66.5
572,1,53,53.0
573,0,0,0.0
574,4,446,111.5
575,2,110,55.0
576,1,65,65.0
577,1,70,70.0
578,1,68,68.0
579,2,135,67.5
580,1,56,56.0
581,0,0,0.0
582,3,189,63.0
583,3,204,68.0
584,1,66,66.0
585,4,399,99.8
586,1,54,54.0
587,0,0,0.0
588,1,56,56.0
589,1,112,112.0
590,2,136,68.0
591,3,252,84.0
592,1,78,78.0
593,0,0,0.0
594,0,0,0.0
595,1,52,52.0
596,2,122,61.0
597,0,0,0.0
598,1,91,91.0
599,0,0,0.0
600,0,0,0.0
601,2,141,70.5
602,0,0,0.0
603,3,251,83.7
604,0,0,0.0
605,2,140,70.0
606,0,0,0.0
607,2,273,136.5
608,2,114,57.0
609,0,0,0.0
610,0,0,0.0
611,2,238,119.0
612,0,0,0.0
613,2,184,92.0
614,0,0,0.0
615,1,84,84.0
616,1,84,84.0
617,1,56,56.0
618,1,64,64.0
619,2,127,63.5
620,0,0,0.0
621,1,56,56.0
622,1,84,84.0
623,3,223,74.3
624,0,0,0.0
625,0,0,0.0
626,3,225,75.0
627,1,70,70.0
628,1,52,52.0
629,1,69,69.0
630,1,77,77.0
631,0,0,0.0
632,1,64,64.0
633,1,110,110.0
634,0,0,0.0
635,1,119,119.0
636,4,299,74.8
637,2,273,136.5
638,0,0,0.0
639,0,0,0.0
640,1,70,70.0
641,0,0,0.0
642,0,0,0.0
643,2,119,59.5
644,1,84,84.0
645,3,182,60.7
646,1,63,63.0
647,1,66,66.0
648,2,182,91.0
649,0,0,0.0
650,1,56,56.0
651,1,70,70.0
652,2,147,73.5
653,0,0,0.0
654,0,0,0.0
655,1,56,56.0
656,2,146,73.0
657,3,224,74.7
658,1,56,56.0
659,1,77,77.0
660,1,56,56.0
661,2,126,63.0
662,0,0,0.0
663,0,0,0.0
664,0,0,0.0
665,0,0,0.0
666,1,56,56.0
667,2,119,59.5
668,0,0,0.0
669,1,51,51.0
670,1,52,52.0
671,2,117,58.5
672,2,140,70.0
673,0,0,0.0
674,2,155,77.5
675,3,200,66.7
676,3,179,59.7
677,1,140,140.0
678,4,347,86.8
679,3,276,92.0
680,1,85,85.0
681,2,194,97.0
682,1,135,135.0
683,1,104,104.0
684,0,0,0.0
685,1,63,63.0
686,0,0,0.0
687,0,0,0.0
688,0,0,0.0
689,3,208,69.3
690,1,57,57.0
691,1,56,56.0
692,1,56,56.0
693,1,84,84.0
694,3,242,80.7
695,1,56,56.0
696,1,56,56.0
697,3,320,106.7
698,2,120,60.0
