Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1090,40,3284,82.1
1091,44,3745,85.1
1092,39,3449,88.4
1093,42,3868,92.1
1094,44,3418,77.7
1095,40,3369,84.2
1096,46,3519,76.5
1097,45,3282,72.9
1098,39,3432,88.0
1099,45,3477,77.3
1100,39,3103,79.6
1101,46,3925,85.3
1102,42,3454,82.2
1103,38,3202,84.3
1104,45,3509,78.0
1105,49,3716,75.8
1106,44,3878,88.1
1107,41,3390,82.7
1108,38,2674,70.4
1109,43,3038,70.7
1110,47,3865,82.2
1111,41,2969,72.4
1112,39,2948,75.6
1113,42,3735,88.9
1114,29,2496,86.1
1115,39,3344,85.7
1116,49,3840,78.4
1117,46,3606,78.4
1118,43,3290,76.5
1119,40,3013,75.3
1120,41,3084,75.2
1121,37,3031,81.9
1122,43,3810,88.6
1123,40,3386,84.6
1124,40,3325,83.1
1125,39,3170,81.3
1126,40,3051,76.3
1127,40,3199,80.0
1128,33,2647,80.2
1129,39,2935,75.3
1130,37,2663,72.0
1131,39,2786,71.4
1132,41,3170,77.3
1133,39,2832,72.6
1134,40,2703,67.6
1135,37,3041,82.2
1136,41,3034,74.0
1137,46,3669,79.8
1138,47,3728,79.3
1139,41,3228,78.7
1140,48,3979,82.9
1141,53,3975,75.0
1142,46,3551,77.2
1143,44,3591,81.6
1144,37,2940,79.5
1145,40,3144,78.6
1146,40,3661,91.5
1147,41,3342,81.5
1148,39,3171,81.3
1149,42,3480,82.9
1150,40,3537,88.4
1151,35,2952,84.3
1152,41,3300,80.5
1153,39,2969,76.1
1154,41,3266,79.7
1155,48,3857,80.4
1156,45,3255,72.3
1157,46,3527,76.7
1158,47,3624,77.1
1159,46,3147,68.4
1160,41,2913,71.0
1161,49,4232,86.4
1162,46,3868,84.1
1163,40,3066,76.6
1164,43,3428,79.7
1165,54,4030,74.6
1166,36,3173,88.1
1167,45,3465,77.0
1168,47,3545,75.4
1169,38,3479,91.6
1170,37,3383,91.4
1171,36,3063,85.1
1172,37,2946,79.6
1173,34,2723,80.1
1174,39,3283,84.2
1175,43,3594,83.6
1176,44,3547,80.6
1177,43,3210,74.7
1178,41,3233,78.9
1179,36,2900,80.6
1180,40,2917,72.9
1181,40,3351,83.8
1182,36,2843,79.0
1183,38,2849,75.0
1184,39,3141,80.5
1185,39,3474,89.1
1186,34,2966,87.2
1187,38,3213,84.6
1188,42,3160,75.2
1189,49,3681,75.1
1190,43,3382,78.7
1191,42,3283,78.2
1192,41,3629,88.5
1193,47,4132,87.9
1194,40,3134,78.4
1195,44,3578,81.3
1196,51,3884,76.2
1197,47,3334,70.9
1198,47,3701,78.7
1199,44,3726,84.7
1200,46,3356,73.0
1201,40,3594,89.8
1202,42,3404,81.0
1203,38,3301,86.9
1204,40,3151,78.8
1205,43,3721,86.5
1206,37,3310,89.5
1207,43,3418,79.5
1208,39,3290,84.4
1209,40,3178,79.4
1210,38,3192,84.0
1211,36,3043,84.5
1212,37,3232,87.4
1213,41,3431,83.7
1214,44,3244,73.7
1215,46,3412,74.2
1216,44,3398,77.2
1217,44,3168,72.0
1218,37,2958,79.9
1219,35,3213,91.8
1220,34,3047,89.6
1221,40,2985,74.6
1222,37,2824,76.3
1223,40,3247,81.2
1224,36,2927,81.3
1225,46,3004,65.3
1226,38,2832,74.5
1227,36,2784,77.3
1228,39,2751,70.5
1229,44,3310,75.2
1230,42,3076,73.2
1231,42,3403,81.0
1232,44,3185,72.4
1233,45,3184,70.8
1234,39,2970,76.2
1235,33,2364,71.6
1236,34,2813,82.7
1237,39,3041,78.0
1238,40,3284,82.1
1239,40,3292,82.3
1240,40,2825,70.6
1241,46,3647,79.3
1242,38,2926,77.0
1243,40,2861,71.5
1244,49,3709,75.7
1245,40,3111,77.8
1246,31,2764,89.2
1247,39,3059,78.4
1248,38,2905,76.4
1249,40,3329,83.2
1250,36,2888,80.2
1251,37,2879,77.8
1252,38,3128,82.3
1253,33,2377,72.0
1254,42,3171,75.5
1255,36,2547,70.8
1256,32,2390,74.7
1257,27,2256,83.6
1258,44,3200,72.7
1259,37,2691,72.7
1260,34,2558,75.2
1261,29,2177,75.1
1262,37,2795,75.5
1263,35,2868,81.9
1264,34,2974,87.5
1265,33,2643,80.1
1266,36,2826,78.5
1267,33,2869,86.9
1268,34,2799,82.3
1269,33,2760,83.6
1270,36,2797,77.7
1271,35,2896,82.7
1272,37,2621,70.8
1273,26,2038,78.4
1274,41,3107,75.8
1275,37,2781,75.2
1276,40,2899,72.5
1277,46,3037,66.0
1278,38,2531,66.6
1279,45,3413,75.8
1280,42,3087,73.5
1281,45,2919,64.9
1282,47,3398,72.3
1283,41,3003,73.2
1284,43,3375,78.5
1285,36,2830,78.6
1286,35,2811,80.3
1287,38,3008,79.2
1288,40,3174,79.4
1289,33,2759,83.6
1290,37,3156,85.3
1291,39,3420,87.7
1292,43,3303,76.8
1293,35,2846,81.3
1294,34,2664,78.4
1295,35,2774,79.3
1296,32,2246,70.2
1297,36,2676,74.3
1298,35,2873,82.1
1299,41,3090,75.4
1300,34,2679,78.8
1301,33,2850,86.4
1302,35,2685,76.7
1303,36,2678,74.4
1304,37,2898,78.3
1305,32,2716,84.9
1306,39,2745,70.4
1307,27,2288,84.7
1308,32,2678,83.7
1309,34,2570,75.6
1310,39,3132,80.3
1311,39,2900,74.4
1312,43,3121,72.6
1313,43,3021,70.3
1314,42,3135,74.6
1315,38,2537,66.8
1316,35,2313,66.1
1317,34,2625,77.2
1318,40,2609,65.2
1319,37,2951,79.8
1320,36,2430,67.5
1321,36,2681,74.5
1322,37,2336,63.1
1323,36,2337,64.9
1324,42,3062,72.9
1325,41,3098,75.6
1326,43,3124,72.7
1327,36,2762,76.7
1328,37,2975,80.4
