Frame,shapes
1792,undetermined
1793,undetermined
1794,undetermined
1795,undetermined
1796,undetermined
1797,undetermined
1798,undetermined
1799,undetermined
1800,tube
1801,undetermined
1802,undetermined
1803,undetermined
1804,undetermined
1805,undetermined
1806,undetermined
1807,undetermined
1808,undetermined
1809,undetermined
1810,undetermined
1811,undetermined
1812,undetermined
1813,undetermined
1814,undetermined
1815,undetermined
1816,undetermined
1817,undetermined
1818,undetermined
1819,undetermined
1820,undetermined
1821,undetermined
1822,undetermined
1823,tube
1824,undetermined
1825,undetermined
1826,undetermined
1827,undetermined
1828,undetermined
1829,undetermined
1830,undetermined
1831,undetermined
1832,undetermined
1833,undetermined
1834,undetermined
1835,undetermined
1836,undetermined
1837,undetermined
1838,undetermined
1839,undetermined
1840,undetermined
1841,undetermined
1842,undetermined
1843,undetermined
1844,undetermined
1845,undetermined
1846,undetermined
1847,undetermined
1848,undetermined
1849,undetermined
1850,undetermined
1851,undetermined
1852,undetermined
1853,undetermined
1854,undetermined
1855,undetermined
1856,tube
1857,undetermined
1858,undetermined
1859,undetermined
1860,undetermined
1861,undetermined
1862,undetermined
1863,undetermined
1864,undetermined
1865,undetermined
1866,undetermined
1867,undetermined
1868,undetermined
1869,tube
1870,undetermined
1871,undetermined
1872,tube
1873,undetermined
1874,undetermined
1875,undetermined
1876,undetermined
1877,undetermined
1878,undetermined
1879,undetermined
1880,undetermined
1881,undetermined
1882,undetermined
1883,undetermined
1884,undetermined
1885,undetermined
1886,undetermined
1887,undetermined
1888,undetermined
