Frame,shape,pathway
10999,sheet,sheet->vesicle
11000,sheet,sheet->vesicle
11001,sheet,sheet->vesicle
11002,sheet,sheet->vesicle
11003,fiber,fiber-only
11004,sheet,sheet->vesicle
11005,sheet,sheet->vesicle
11006,fiber,fiber-only
11007,sheet,sheet->vesicle
11008,sheet,sheet->vesicle
11009,sheet,sheet->vesicle
11010,sheet,sheet->vesicle
11011,sheet,sheet->vesicle
11012,fiber,fiber-only
11013,sheet,sheet->vesicle
11014,fiber,fiber-only
11015,sheet,sheet->vesicle
11016,sheet,sheet->vesicle
11017,sheet,sheet->vesicle
11018,sheet,sheet->vesicle
11019,sheet,sheet->vesicle
11020,sheet,sheet->vesicle
11021,sheet,sheet->vesicle
11022,sheet,sheet->vesicle
11023,sheet,sheet->vesicle
11024,fiber,fiber-only
11025,fiber,fiber-only
11026,fiber,fiber-only
11027,sheet,sheet->vesicle
11028,sheet,sheet->vesicle
11029,sheet,sheet->vesicle
11030,fiber,fiber-only
11031,sheet,sheet->vesicle
11032,fiber,fiber-only
11033,sheet,sheet->vesicle
11034,sheet,sheet->vesicle
11035,sheet,sheet->vesicle
11036,sheet,sheet->vesicle
11037,fiber,fiber-only
11038,sheet,sheet->vesicle
11039,fiber,fiber-only
11040,sheet,sheet->vesicle
11041,sheet,sheet->vesicle
11042,sheet,sheet->vesicle
11043,fiber,fiber-only
11044,sheet,sheet->vesicle
11045,sheet,sheet->vesicle
11046,fiber,fiber-only
11047,fiber,fiber-only
11048,fiber,fiber-only
11049,sheet,sheet->vesicle
11050,fiber,fiber-only
11051,fiber,fiber-only
11052,fiber,fiber-only
11053,sheet,sheet->vesicle
11054,sheet,sheet->vesicle
11055,fiber,fiber-only
11056,sheet,sheet->vesicle
11057,fiber,fiber-only
11058,sheet,sheet->vesicle
11059,sheet,sheet->vesicle
11060,sheet,sheet->vesicle
11061,sheet,sheet->vesicle
11062,fiber,fiber-only
11063,fiber,fiber-only
11064,sheet,sheet->vesicle
11065,fiber,fiber-only
11066,sheet,sheet->vesicle
11067,fiber,fiber-only
11068,sheet,sheet->vesicle
11069,sheet,sheet->vesicle
11070,sheet,sheet->vesicle
11071,sheet,sheet->vesicle
11072,sheet,sheet->vesicle
11073,sheet,sheet->vesicle
11074,sheet,sheet->vesicle
11075,sheet,sheet->vesicle
11076,sheet,sheet->vesicle
11077,sheet,sheet->vesicle
11078,sheet,sheet->vesicle
11079,sheet,sheet->vesicle
11080,fiber,fiber-only
11081,sheet,sheet->vesicle
11082,sheet,sheet->vesicle
11083,fiber,fiber-only
11084,sheet,sheet->vesicle
11085,sheet,sheet->vesicle
11086,sheet,sheet->vesicle
11087,sheet,sheet->vesicle
11088,fiber,fiber-only
11089,fiber,fiber-only
11090,sheet,sheet->vesicle
11091,sheet,sheet->vesicle
11092,sheet,sheet->vesicle
11093,sheet,sheet->vesicle
11094,fiber,fiber-only
11095,fiber,fiber-only
11096,sheet,sheet->vesicle
11097,fiber,fiber-only
11098,fiber,fiber-only
11099,fiber,fiber-only
11100,fiber,fiber-only
11101,fiber,fiber-only
11102,fiber,fiber-only
11103,fiber,fiber-only
11104,sheet,sheet->vesicle
11105,fiber,fiber-only
11106,sheet,sheet->vesicle
11107,sheet,sheet->vesicle
11108,sheet,sheet->vesicle
11109,sheet,sheet->vesicle
11110,sheet,sheet->vesicle
11111,sheet,sheet->vesicle
11112,sheet,sheet->vesicle
11113,sheet,sheet->vesicle
11114,sheet,sheet->vesicle
11115,sheet,sheet->vesicle
11116,fiber,fiber-only
11117,fiber,fiber-only
11118,sheet,sheet->vesicle
11119,sheet,sheet->vesicle
11120,sheet,sheet->vesicle
11121,sheet,sheet->vesicle
11122,sheet,sheet->vesicle
11123,fiber,fiber-only
11124,sheet,sheet->vesicle
11125,sheet,sheet->vesicle
11126,sheet,sheet->vesicle
11127,sheet,sheet->vesicle
11128,fiber,fiber-only
11129,sheet,sheet->vesicle
11130,fiber,fiber-only
11131,fiber,fiber-only
11132,fiber,fiber-only
11133,fiber,fiber-only
11134,fiber,fiber-only
11135,fiber,fiber-only
11136,sheet,sheet->vesicle
11137,sheet,sheet->vesicle
11138,sheet,sheet->vesicle
11139,fiber,fiber-only
11140,fiber,fiber-only
11141,fiber,fiber-only
11142,sheet,sheet->vesicle
11143,sheet,sheet->vesicle
11144,fiber,fiber-only
11145,fiber,fiber-only
11146,sheet,sheet->vesicle
11147,sheet,sheet->vesicle
11148,fiber,fiber-only
11149,sheet,sheet->vesicle
11150,fiber,fiber-only
11151,fiber,fiber-only
11152,sheet,sheet->vesicle
11153,fiber,fiber-only
11154,fiber,fiber-only
11155,sheet,sheet->vesicle
11156,fiber,fiber-only
11157,fiber,fiber-only
11158,fiber,fiber-only
11159,fiber,fiber-only
11160,fiber,fiber-only
11161,fiber,fiber-only
11162,fiber,fiber-only
11163,fiber,fiber-only
11164,fiber,fiber-only
11165,sheet,sheet->vesicle
11166,fiber,fiber-only
11167,fiber,fiber-only
11168,fiber,fiber-only
11169,fiber,fiber-only
11170,fiber,fiber-only
11171,fiber,fiber-only
11172,fiber,fiber-only
11173,fiber,fiber-only
11174,fiber,fiber-only
11175,fiber,fiber-only
11176,fiber,fiber-only
11177,fiber,fiber-only
11178,fiber,fiber-only
11179,fiber,fiber-only
11180,fiber,fiber-only
11181,fiber,fiber-only
11182,fiber,fiber-only
11183,fiber,fiber-only
11184,fiber,fiber-only
11185,fiber,fiber-only
11186,fiber,fiber-only
11187,fiber,fiber-only
11188,fiber,fiber-only
11189,fiber,fiber-only
11190,fiber,fiber-only
11191,fiber,fiber-only
11192,fiber,fiber-only
11193,sheet,sheet->vesicle
11194,fiber,fiber-only
11195,fiber,fiber-only
11196,sheet,sheet->vesicle
11197,fiber,fiber-only
11198,fiber,fiber-only
11199,fiber,fiber-only
11200,fiber,fiber-only
11201,fiber,fiber-only
11202,fiber,fiber-only
11203,fiber,fiber-only
11204,fiber,fiber-only
11205,fiber,fiber-only
11206,fiber,fiber-only
11207,fiber,fiber-only
11208,fiber,fiber-only
11209,fiber,fiber-only
11210,fiber,fiber-only
11211,fiber,fiber-only
11212,fiber,fiber-only
11213,fiber,fiber-only
11214,fiber,fiber-only
11215,fiber,fiber-only
11216,fiber,fiber-only
11217,fiber,fiber-only
11218,fiber,fiber-only
11219,fiber,fiber-only
11220,fiber,fiber-only
11221,fiber,fiber-only
11222,fiber,fiber-only
11223,sheet,sheet->vesicle
11224,fiber,fiber-only
11225,fiber,fiber-only
11226,fiber,fiber-only
11227,fiber,fiber-only
11228,fiber,fiber-only
11229,fiber,fiber-only
11230,fiber,fiber-only
11231,sheet,sheet->vesicle
11232,fiber,fiber-only
11233,fiber,fiber-only
11234,fiber,fiber-only
11235,fiber,fiber-only
11236,fiber,fiber-only
11237,fiber,fiber-only
11238,fiber,fiber-only
11239,fiber,fiber-only
11240,fiber,fiber-only
11241,fiber,fiber-only
11242,fiber,fiber-only
11243,fiber,fiber-only
11244,fiber,fiber-only
11245,fiber,fiber-only
11246,fiber,fiber-only
11247,fiber,fiber-only
11248,fiber,fiber-only
11249,fiber,fiber-only
11250,fiber,fiber-only
11251,sheet,sheet->vesicle
11252,fiber,fiber-only
11253,fiber,fiber-only
11254,fiber,fiber-only
11255,fiber,fiber-only
11256,fiber,fiber-only
11257,fiber,fiber-only
11258,sheet,sheet->vesicle
11259,sheet,sheet->vesicle
11260,fiber,fiber-only
11261,fiber,fiber-only
11262,sheet,sheet->vesicle
11263,fiber,fiber-only
11264,sheet,sheet->vesicle
11265,fiber,fiber-only
11266,fiber,fiber-only
11267,fiber,fiber-only
11268,fiber,fiber-only
11269,sheet,sheet->vesicle
11270,fiber,fiber-only
11271,fiber,fiber-only
11272,sheet,sheet->vesicle
11273,fiber,fiber-only
11274,fiber,fiber-only
11275,sheet,sheet->vesicle
11276,fiber,fiber-only
11277,fiber,fiber-only
11278,fiber,fiber-only
11279,fiber,fiber-only
11280,fiber,fiber-only
11281,fiber,fiber-only
11282,fiber,fiber-only
11283,sheet,sheet->vesicle
11284,sheet,sheet->vesicle
11285,fiber,fiber-only
11286,fiber,fiber-only
11287,fiber,fiber-only
11288,fiber,fiber-only
11289,fiber,fiber-only
11290,sheet,sheet->vesicle
11291,fiber,fiber-only
11292,fiber,fiber-only
11293,fiber,fiber-only
11294,fiber,fiber-only
11295,fiber,fiber-only
11296,fiber,fiber-only
11297,fiber,fiber-only
11298,fiber,fiber-only
11299,fiber,fiber-only
11300,fiber,fiber-only
11301,fiber,fiber-only
11302,fiber,fiber-only
11303,fiber,fiber-only
11304,fiber,fiber-only
11305,fiber,fiber-only
11306,sheet,sheet->vesicle
11307,fiber,fiber-only
11308,fiber,fiber-only
11309,fiber,fiber-only
11310,fiber,fiber-only
11311,sheet,sheet->vesicle
11312,sheet,sheet->vesicle
11313,fiber,fiber-only
11314,fiber,fiber-only
11315,fiber,fiber-only
11316,fiber,fiber-only
11317,fiber,fiber-only
11318,sheet,sheet->vesicle
11319,fiber,fiber-only
11320,fiber,fiber-only
11321,fiber,fiber-only
11322,fiber,fiber-only
11323,fiber,fiber-only
11324,fiber,fiber-only
11325,fiber,fiber-only
11326,sheet,sheet->vesicle
11327,fiber,fiber-only
11328,fiber,fiber-only
11329,fiber,fiber-only
11330,fiber,fiber-only
11331,sheet,sheet->vesicle
11332,sheet,sheet->vesicle
11333,fiber,fiber-only
11334,sheet,sheet->vesicle
11335,fiber,fiber-only
11336,sheet,sheet->vesicle
11337,fiber,fiber-only
11338,fiber,fiber-only
11339,fiber,fiber-only
11340,sheet,sheet->vesicle
11341,fiber,fiber-only
11342,fiber,fiber-only
11343,sheet,sheet->vesicle
11344,sheet,sheet->vesicle
11345,fiber,fiber-only
11346,fiber,fiber-only
11347,sheet,sheet->vesicle
11348,sheet,sheet->vesicle
11349,sheet,sheet->vesicle
11350,fiber,fiber-only
11351,sheet,sheet->vesicle
11352,sheet,sheet->vesicle
