Frame,dominant_state
992,vesicle
993,vesicle
994,fiber
995,fiber
996,fiber
997,vesicle
998,vesicle
999,vesicle
1000,vesicle
1001,vesicle
1002,vesicle
1003,vesicle
1004,vesicle
1005,vesicle
1006,fiber
1007,fiber
1008,vesicle
1009,vesicle
1010,vesicle
1011,vesicle
1012,vesicle
1013,vesicle
1014,vesicle
1015,vesicle
1016,vesicle
1017,vesicle
1018,vesicle
1019,vesicle
1020,vesicle
1021,vesicle
1022,vesicle
1023,vesicle
1024,vesicle
1025,vesicle
1026,vesicle
1027,vesicle
1028,vesicle
1029,vesicle
1030,vesicle
1031,vesicle
1032,vesicle
1033,vesicle
1034,vesicle
1035,vesicle
1036,vesicle
1037,vesicle
1038,vesicle
1039,vesicle
1040,vesicle
1041,vesicle
1042,vesicle
1043,vesicle
1044,vesicle
1045,vesicle
1046,vesicle
1047,vesicle
1048,vesicle
1049,vesicle
1050,vesicle
1051,vesicle
1052,vesicle
1053,vesicle
1054,vesicle
1055,vesicle
1056,vesicle
1057,vesicle
1058,vesicle
1059,vesicle
1060,vesicle
1061,vesicle
1062,vesicle
1063,vesicle
1064,vesicle
1065,vesicle
1066,vesicle
1067,vesicle
1068,vesicle
1069,vesicle
1070,vesicle
1071,vesicle
1072,vesicle
1073,vesicle
1074,vesicle
1075,vesicle
1076,vesicle
1077,vesicle
1078,vesicle
1079,vesicle
1080,vesicle
1081,vesicle
1082,vesicle
1083,vesicle
1084,vesicle
1085,vesicle
1086,vesicle
1087,vesicle
1088,vesicle
1089,vesicle
1090,vesicle
1091,vesicle
1092,vesicle
1093,vesicle
1094,vesicle
1095,vesicle
1096,vesicle
1097,vesicle
1098,vesicle
1099,vesicle
1100,vesicle
1101,vesicle
1102,vesicle
1103,vesicle
1104,vesicle
1105,vesicle
1106,vesicle
1107,vesicle
1108,vesicle
1109,vesicle
1110,vesicle
1111,vesicle
1112,vesicle
1113,vesicle
1114,vesicle
1115,vesicle
1116,vesicle
1117,vesicle
1118,vesicle
1119,vesicle
1120,vesicle
1121,vesicle
1122,vesicle
1123,vesicle
1124,vesicle
1125,vesicle
1126,vesicle
1127,vesicle
1128,vesicle
1129,vesicle
1130,vesicle
1131,vesicle
1132,vesicle
1133,vesicle
1134,vesicle
1135,vesicle
1136,vesicle
1137,vesicle
1138,vesicle
1139,vesicle
1140,vesicle
1141,vesicle
1142,vesicle
1143,vesicle
1144,vesicle
1145,vesicle
1146,vesicle
1147,vesicle
1148,vesicle
1149,vesicle
1150,vesicle
1151,vesicle
1152,vesicle
1153,vesicle
1154,vesicle
1155,vesicle
1156,vesicle
1157,vesicle
1158,vesicle
1159,vesicle
1160,vesicle
1161,vesicle
1162,vesicle
1163,vesicle
1164,vesicle
1165,vesicle
1166,vesicle
1167,vesicle
1168,vesicle
1169,vesicle
1170,vesicle
1171,vesicle
1172,vesicle
1173,vesicle
1174,vesicle
1175,vesicle
1176,vesicle
1177,vesicle
1178,vesicle
1179,vesicle
1180,vesicle
1181,vesicle
1182,vesicle
